iter	Passed	Remaining
534	13170	11446
535	13203	11430
536	13227	11405
537	13257	11384
538	13290	11367
539	13324	11350
540	13363	11338
541	13401	11324
542	13440	11311
543	13472	11292
544	13502	11272
545	13531	11251
546	13556	11226
547	13583	11204
548	13609	11179
549	13641	11160
550	13669	11138
551	13693	11113
552	13717	11088
553	13743	11063
554	13768	11039
555	13794	11015
556	13820	10991
557	13847	10968
558	13870	10942
559	13896	10918
560	13922	10895
561	13946	10869
562	13973	10846
563	13998	10821
564	14029	10801
565	14053	10776
566	14087	10757
567	14113	10734
568	14139	10710
569	14166	10686
570	14197	10667
571	14223	10642
572	14249	10619
573	14275	10595
574	14303	10572
575	14331	10549
576	14358	10526
577	14385	10503
578	14416	10482
579	14444	10459
580	14470	10435
581	14496	10411
582	14522	10387
583	14549	10364
584	14575	10340
585	14602	10316
586	14628	10292
587	14653	10267
588	14680	10243
589	14704	10218
590	14728	10193
591	14754	10168
592	14779	10143
593	14809	10122
594	14836	10098
595	14862	10074
596	14887	10050
597	14914	10026
598	14939	10001
599	14965	9977
600	14991	9953
601	15026	9934
602	15053	9910
603	15078	9886
604	15105	9861
605	15133	9839
606	15157	9813
607	15188	9792
608	15213	9767
609	15240	9743
610	15266	9719
611	15292	9695
612	15320	9672
613	15347	9648
614	15371	9623
615	15435	9621
616	15517	9632
617	15586	9634
618	15647	9631
619	15719	9634
620	15795	9639
621	15860	9638
622	15914	9630
623	15937	9603
624	15960	9576
625	15987	9551
626	16009	9524
627	16033	9497
628	16056	9470
629	16081	9444
630	16127	9431
631	16192	9428
632	16242	9416
633	16268	9391
634	16292	9365
635	16317	9338
636	16365	9326
637	16407	9309
638	16451	9294
639	16493	9277
640	16516	9250
641	16543	9225
642	16569	9199
643	16594	9173
644	16620	9147
645	16646	9122
646	16671	9095
647	16696	9069
648	16724	9045
649	16754	9021
650	16778	8995
651	16804	8969
652	16843	8950
653	16891	8936
654	16938	8921
655	16986	8907
656	17013	8882
657	17039	8856
658	17065	8830
659	17091	8804
660	17114	8777
661	17141	8752
662	17169	8727
663	17194	8700
664	17221	8675
665	17249	8650
666	17280	8627
667	17305	8600
668	17330	8574
669	17357	8549
670	17398	8530
671	17427	8506
672	17453	8480
673	17504	8466
674	17563	8456
675	17609	8439
676	17642	8417
677	17669	8391
678	17696	8366
679	17721	8339
680	17749	8314
681	17775	8288
682	17801	8262
683	17825	8235
684	17851	8209
685	17877	8182
686	17903	8156
687	17932	8132
688	17958	8106
689	17984	8080
690	18009	8053
691	18035	8027
692	18064	8002
693	18089	7976
694	18112	7948
695	18137	7922
696	18164	7896
697	18190	7870
698	18216	7844
699	18241	7817
700	18267	7791
701	18301	7769
702	18334	7745
703	18389	7731
704	18446	7718
705	18498	7703
706	18527	7678
707	18555	7652
708	18582	7627
709	18613	7602
710	18639	7576
711	18665	7549
712	18692	7524
713	18720	7498
714	18746	7472
715	18772	7446
716	18797	7419
717	18823	7393
718	18853	7368
719	18878	7341
720	18903	7314
721	18931	7289
722	18957	7263
723	18982	7236
724	19008	7210
725	19035	7184
726	19059	7156
727	19092	7133
728	19116	7106
729	19144	7080
730	19170	7054
731	19194	7027
732	19219	7000
733	19244	6974
734	19271	6948
735	19297	6921
736	19323	6895
